Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Field_Area_hectare,Previous_Irrigation_mm,Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Mulching_Used,Region
5.79,21.11,1.35,1.16,28.89,72.13,1751.67,8.1,15.92,2.91,111.74,Clay,Rice,Sowing,Zaid,Sprinkler,Groundwater,Yes,North
5.28,17.18,0.42,1.64,22.43,35.12,2480.59,4.47,10.77,11.66,65.62,Clay,Cotton,Sowing,Kharif,Canal,Reservoir,No,East
5.55,47.46,0.47,0.39,37.39,47.7,1237.92,5.19,13.04,8.66,5.63,Silt,Wheat,Sowing,Kharif,Rainfed,River,Yes,North
7.03,37.2,1.05,2.34,40.52,59.6,2120.74,8.93,1.04,8.43,73.66,Clay,Rice,Flowering,Zaid,Canal,Groundwater,No,East
5.36,64.2,0.75,0.18,20.22,76.95,1754.86,5.84,11.11,1.65,60.65,Clay,Maize,Sowing,Kharif,Drip,Rainwater,No,North
4.93,8.56,0.68,2.19,41.74,77.41,1321.56,4.95,2.25,6.81,24.31,Clay,Rice,Vegetative,Rabi,Sprinkler,Reservoir,Yes,South
8.15,12.98,0.4,0.3,18.37,61.6,2320.32,7.92,13.37,10.42,2.58,Loamy,Wheat,Flowering,Rabi,Drip,River,Yes,Central
6.77,14.93,1.22,3.03,41.65,59.95,1419.57,6.22,2.9,6.43,109.79,Clay,Rice,Flowering,Rabi,Canal,River,Yes,Central
7.84,31.29,0.54,0.11,38.34,53.97,1407.19,7.65,4.35,5.99,40.21,Sandy,Cotton,Vegetative,Zaid,Rainfed,River,Yes,Central
6.01,14.26,1.1,2.35,17.06,36.08,1209.74,9.11,2.93,12.97,118.65,Silt,Rice,Harvest,Rabi,Canal,River,Yes,West
7.87,45.17,0.44,1.76,39.11,51.62,1715.04,10.85,13.55,3.42,46.75,Silt,Rice,Harvest,Rabi,Drip,Groundwater,No,South
7.38,10.16,1.16,1.41,39.4,36.08,140.71,7.62,19.76,1.17,103.53,Clay,Cotton,Vegetative,Kharif,Rainfed,Groundwater,No,North
6.61,36.94,0.94,2.32,26.77,28.51,914.34,9.29,2.85,8.34,118.72,Loamy,Wheat,Harvest,Zaid,Canal,River,Yes,East
5.95,60.45,0.64,2.17,37.04,87.73,1097.02,10.7,4.07,11.17,84.24,Clay,Rice,Harvest,Kharif,Drip,Groundwater,Yes,Central
7.44,25.2,0.77,3.36,24.21,61.56,513.14,10.85,17.45,4.88,80.41,Sandy,Sugarcane,Flowering,Rabi,Sprinkler,Rainwater,Yes,South
5.14,11.31,0.84,1.72,29.45,79.43,1182.21,6.22,4.6,3.31,75.89,Sandy,Cotton,Flowering,Rabi,Canal,Reservoir,Yes,North
6.14,42.69,1.52,2.78,12.88,80.09,2397.63,7.7,0.89,12.82,54.95,Clay,Maize,Vegetative,Kharif,Rainfed,Groundwater,Yes,West
5.18,25.19,0.57,3.17,15.5,80.02,1367.16,10.69,19.73,6.97,32.56,Silt,Rice,Sowing,Zaid,Sprinkler,Groundwater,No,East
7.61,25.9,1.54,2.23,19.79,45.88,781.78,5.81,19.83,7.94,84.21,Silt,Rice,Harvest,Rabi,Rainfed,Rainwater,No,Central
8.13,54.03,0.92,3.1,41.12,52.44,2279.13,7.68,12.1,13.49,31.09,Loamy,Sugarcane,Vegetative,Rabi,Drip,River,Yes,North
5.53,17.99,0.83,0.76,35.58,39.04,1486.09,5.94,11.16,1.86,115.73,Loamy,Wheat,Sowing,Kharif,Sprinkler,Groundwater,No,South
5.44,59.42,0.4,2.73,18.04,89.92,761.08,9.56,19.02,13.35,19.09,Loamy,Rice,Flowering,Rabi,Drip,Rainwater,No,North
7.73,40.81,1.17,2.14,37.81,75.62,1643.84,4.31,0.69,0.69,84.25,Loamy,Potato,Sowing,Kharif,Sprinkler,River,Yes,South
7.44,30.25,0.99,2.34,29.57,82.06,514.18,9.13,2.03,5.55,113.93,Clay,Potato,Flowering,Zaid,Drip,Groundwater,Yes,West
6.01,43.29,0.31,1.25,19.44,66.66,2175.54,8.99,2.84,9.33,18.67,Clay,Wheat,Harvest,Rabi,Rainfed,Reservoir,No,East
5.77,64.44,0.35,2.93,39.95,69.79,895.52,6.54,2.52,7.08,48.64,Silt,Sugarcane,Vegetative,Zaid,Canal,Rainwater,No,West
7.37,45.31,1.36,1.66,26.07,88.67,1096.97,7.58,15.3,6.41,95.56,Silt,Cotton,Sowing,Zaid,Rainfed,Rainwater,No,East
5.53,64.63,0.33,0.11,38.95,26.5,2047.93,7.78,16.64,11.73,75.24,Loamy,Rice,Sowing,Zaid,Sprinkler,Rainwater,No,West
4.89,12.42,0.41,1.77,19.06,33.96,1785.05,7.07,9.77,14.94,105.88,Sandy,Sugarcane,Vegetative,Kharif,Canal,Rainwater,No,Central
7.21,63.37,0.57,0.52,36.66,56.16,2356.0,10.94,5.52,12.5,51.54,Sandy,Maize,Flowering,Kharif,Rainfed,River,Yes,East
6.68,27.17,1.44,0.96,39.31,92.9,1049.04,6.94,9.22,8.2,42.98,Clay,Potato,Harvest,Kharif,Canal,Reservoir,No,South
5.07,10.18,0.42,0.39,40.94,71.04,868.33,8.47,14.77,4.09,72.0,Silt,Maize,Harvest,Rabi,Rainfed,River,Yes,South
6.77,39.42,0.34,2.48,23.12,33.74,1318.76,8.64,19.73,9.14,55.42,Silt,Rice,Harvest,Zaid,Drip,Reservoir,Yes,South
7.93,21.84,0.67,1.28,16.09,29.74,1574.51,10.02,13.1,7.42,82.89,Sandy,Wheat,Flowering,Kharif,Drip,Rainwater,No,South
6.33,52.16,0.56,2.09,33.52,64.73,1019.51,7.51,3.01,8.11,19.41,Clay,Sugarcane,Flowering,Zaid,Canal,Rainwater,No,East
6.25,63.25,0.81,3.26,14.89,31.83,2245.84,5.92,17.29,12.88,84.82,Sandy,Rice,Vegetative,Zaid,Drip,Rainwater,No,West
6.48,27.84,1.25,1.5,14.76,77.56,1083.96,9.82,3.78,6.44,96.9,Silt,Wheat,Sowing,Kharif,Sprinkler,Reservoir,Yes,South
7.03,17.17,0.72,2.42,22.78,45.66,1361.56,5.04,18.51,8.92,57.35,Silt,Sugarcane,Vegetative,Rabi,Rainfed,Reservoir,No,East
7.71,50.97,1.02,0.45,39.02,62.23,2328.27,8.32,5.02,7.42,29.21,Sandy,Sugarcane,Harvest,Zaid,Canal,River,No,West
7.57,16.29,0.44,0.36,25.81,72.27,282.29,9.89,17.81,6.54,107.53,Silt,Maize,Harvest,Rabi,Canal,River,Yes,Central
7.2,56.57,1.13,2.3,12.39,28.24,1813.88,4.6,13.37,11.93,47.7,Sandy,Cotton,Sowing,Kharif,Rainfed,Reservoir,Yes,Central
7.41,46.11,1.43,1.98,14.05,37.71,2194.46,10.14,9.29,9.1,118.56,Clay,Cotton,Vegetative,Rabi,Canal,Reservoir,No,West
5.09,59.47,1.53,0.89,31.6,31.25,1045.37,9.87,14.88,7.65,2.64,Silt,Wheat,Harvest,Zaid,Sprinkler,River,Yes,South
7.25,59.38,1.09,0.86,27.71,85.63,2231.97,9.51,15.97,4.53,20.46,Silt,Potato,Vegetative,Zaid,Rainfed,Reservoir,Yes,South
7.23,50.4,0.73,2.99,19.68,51.72,2479.97,5.7,14.38,13.02,64.24,Sandy,Wheat,Sowing,Rabi,Rainfed,Groundwater,No,Central
8.07,13.42,1.51,2.74,18.04,89.48,1848.99,10.62,6.75,4.22,35.0,Silt,Potato,Vegetative,Rabi,Canal,Groundwater,Yes,North
7.24,12.34,0.52,0.34,29.0,59.14,764.8,10.24,17.78,9.48,27.8,Clay,Sugarcane,Vegetative,Zaid,Drip,Groundwater,Yes,South
6.1,57.1,0.46,1.79,29.0,28.58,1047.34,9.26,14.63,6.7,27.88,Silt,Wheat,Flowering,Kharif,Canal,Reservoir,No,Central
4.85,53.99,1.57,0.72,20.64,74.27,514.85,6.69,11.57,8.34,33.52,Silt,Sugarcane,Sowing,Zaid,Canal,Rainwater,No,Central
6.34,58.4,1.16,1.88,33.4,75.13,1783.37,8.34,5.77,5.02,89.42,Clay,Wheat,Harvest,Rabi,Sprinkler,Reservoir,No,East
7.2,64.71,0.94,0.85,18.61,70.71,2409.18,7.5,8.71,14.68,69.71,Loamy,Sugarcane,Harvest,Kharif,Canal,Rainwater,Yes,East
5.09,52.38,0.33,2.73,16.06,76.41,1566.54,8.11,2.7,3.31,13.32,Clay,Wheat,Sowing,Rabi,Sprinkler,Reservoir,No,Central
7.59,42.42,0.95,1.67,35.84,58.18,2096.68,5.7,8.78,7.86,47.56,Clay,Potato,Harvest,Zaid,Rainfed,River,Yes,North
5.09,40.78,0.78,1.07,40.74,30.88,1680.45,9.09,8.71,6.04,51.35,Clay,Potato,Sowing,Rabi,Canal,Reservoir,No,North
8.02,9.95,1.45,1.71,21.73,48.36,1743.11,5.8,19.02,11.14,78.31,Loamy,Sugarcane,Flowering,Zaid,Canal,Rainwater,No,Central
7.59,30.4,0.57,3.3,30.42,46.03,2496.98,4.07,2.03,6.5,33.09,Sandy,Sugarcane,Sowing,Zaid,Sprinkler,Rainwater,Yes,West
7.89,26.89,1.46,2.11,16.75,81.22,1311.24,7.54,18.57,12.71,109.13,Loamy,Sugarcane,Sowing,Kharif,Rainfed,Rainwater,Yes,West
5.14,51.98,0.34,1.6,35.18,28.41,1665.62,7.9,4.46,1.03,65.23,Silt,Potato,Harvest,Zaid,Sprinkler,Groundwater,Yes,South
7.65,18.85,0.72,1.81,25.46,46.51,2165.24,10.89,1.81,9.1,90.15,Loamy,Cotton,Sowing,Rabi,Rainfed,Reservoir,No,West
5.38,26.23,1.54,2.0,12.53,63.69,896.21,8.14,10.29,13.85,36.58,Clay,Sugarcane,Vegetative,Kharif,Drip,Reservoir,No,South
5.69,32.5,1.14,1.78,19.69,86.47,1373.46,7.86,8.9,5.06,31.71,Silt,Wheat,Sowing,Zaid,Rainfed,Rainwater,No,West
7.23,41.79,0.79,0.48,17.69,80.71,518.72,8.95,8.13,7.86,17.69,Sandy,Sugarcane,Harvest,Zaid,Canal,River,Yes,West
6.63,27.04,0.35,0.69,39.25,49.19,731.38,8.34,10.37,6.35,41.4,Silt,Rice,Sowing,Zaid,Rainfed,River,Yes,South
7.73,27.52,0.98,1.52,33.56,55.87,1531.02,4.53,15.58,13.93,37.28,Loamy,Cotton,Sowing,Kharif,Drip,Reservoir,Yes,East
7.24,27.77,0.66,3.21,23.79,36.05,1043.86,10.59,2.91,9.25,102.74,Sandy,Maize,Vegetative,Zaid,Sprinkler,Groundwater,No,North
5.02,12.29,0.34,0.25,41.49,31.5,254.34,10.56,16.01,9.34,57.33,Sandy,Cotton,Vegetative,Kharif,Sprinkler,Rainwater,Yes,South
6.32,34.47,1.38,2.23,30.85,42.92,1868.8,10.12,6.83,13.85,53.31,Loamy,Cotton,Vegetative,Zaid,Rainfed,Reservoir,Yes,West
6.92,42.55,1.3,2.87,17.5,84.05,487.46,8.73,13.75,7.31,12.62,Clay,Sugarcane,Harvest,Rabi,Sprinkler,Rainwater,Yes,South
6.21,19.4,0.73,2.12,19.24,45.61,2385.45,5.92,11.59,13.32,65.72,Silt,Sugarcane,Harvest,Kharif,Drip,Rainwater,Yes,North
5.83,55.48,1.05,0.89,15.71,40.09,2496.56,10.65,18.89,10.52,16.44,Loamy,Cotton,Vegetative,Kharif,Drip,River,No,North
7.2,60.27,0.94,2.6,40.2,91.49,1484.74,7.71,2.8,4.92,50.6,Silt,Cotton,Sowing,Zaid,Rainfed,River,No,East
5.09,18.4,0.58,1.17,31.62,70.29,1269.56,5.12,2.5,11.87,78.91,Sandy,Wheat,Vegetative,Kharif,Canal,Rainwater,Yes,South
6.99,56.15,0.9,0.34,16.24,87.52,1787.67,8.54,18.62,1.37,58.88,Silt,Potato,Sowing,Zaid,Canal,Reservoir,No,South
6.7,18.27,0.97,2.05,18.68,78.62,1658.06,4.98,1.15,2.4,57.35,Sandy,Maize,Flowering,Zaid,Canal,Rainwater,No,North
5.45,48.37,0.39,1.73,34.71,45.8,2058.05,8.78,7.76,1.06,23.49,Loamy,Wheat,Harvest,Kharif,Sprinkler,Rainwater,Yes,East
6.94,64.33,1.12,2.04,30.01,52.1,2143.25,6.55,9.82,5.06,108.57,Sandy,Sugarcane,Sowing,Kharif,Canal,Rainwater,Yes,Central
7.11,41.79,1.18,0.46,24.59,78.12,1353.52,9.51,13.44,9.91,112.9,Loamy,Maize,Harvest,Zaid,Rainfed,Rainwater,Yes,West
5.95,53.38,0.49,2.03,23.14,78.24,2293.66,6.96,5.18,14.84,79.08,Clay,Cotton,Harvest,Zaid,Sprinkler,Rainwater,No,Central
7.14,58.67,1.18,1.5,39.06,54.88,2412.78,8.64,13.39,11.87,3.3,Silt,Sugarcane,Sowing,Zaid,Canal,Groundwater,Yes,East
6.71,61.01,0.55,1.02,33.71,94.56,434.54,6.17,11.69,6.03,74.14,Clay,Rice,Flowering,Rabi,Drip,Rainwater,Yes,East
6.38,42.98,1.14,0.14,22.4,55.16,1229.76,7.82,4.79,5.81,16.67,Clay,Cotton,Harvest,Zaid,Rainfed,Rainwater,Yes,North
7.72,44.72,0.75,1.96,29.52,56.59,773.45,6.18,3.84,5.69,27.11,Loamy,Wheat,Harvest,Rabi,Rainfed,Rainwater,No,East
4.9,44.79,0.44,0.27,33.96,94.64,1324.19,5.12,6.27,8.22,9.05,Silt,Potato,Harvest,Rabi,Canal,Rainwater,Yes,Central
6.2,52.02,1.11,2.61,29.0,85.32,1092.38,9.86,2.86,2.9,11.08,Loamy,Maize,Sowing,Kharif,Drip,Groundwater,No,West
6.2,9.55,1.15,1.06,35.33,48.01,1837.7,7.42,4.66,10.63,106.61,Sandy,Maize,Vegetative,Kharif,Sprinkler,River,Yes,Central
6.06,50.63,0.64,1.65,34.01,42.75,752.67,7.51,1.35,11.22,33.53,Silt,Cotton,Harvest,Rabi,Drip,Reservoir,No,Central
8.16,59.4,1.1,2.65,29.95,61.95,1354.4,4.76,7.77,3.81,40.48,Sandy,Rice,Sowing,Kharif,Rainfed,River,Yes,West
6.54,35.98,0.77,0.39,34.19,86.61,2270.49,9.72,4.6,3.25,11.04,Silt,Cotton,Harvest,Rabi,Sprinkler,Rainwater,No,North
6.42,57.61,0.46,1.64,39.73,69.12,2236.53,5.62,7.97,11.79,15.69,Silt,Maize,Vegetative,Kharif,Sprinkler,Groundwater,Yes,West
5.37,62.97,0.35,0.37,31.34,73.61,2228.77,10.78,10.3,12.8,12.98,Sandy,Maize,Flowering,Rabi,Sprinkler,River,Yes,North
5.04,26.34,0.46,2.12,17.75,29.4,2103.22,4.22,0.82,2.15,56.02,Clay,Cotton,Flowering,Zaid,Canal,Rainwater,No,East
7.73,62.69,1.08,0.11,15.18,30.88,442.92,9.7,12.71,4.84,55.88,Silt,Maize,Vegetative,Rabi,Sprinkler,River,Yes,East
4.83,8.34,1.16,1.31,25.06,66.97,709.08,6.35,5.48,14.05,81.78,Sandy,Cotton,Vegetative,Zaid,Rainfed,Reservoir,Yes,South
7.82,59.2,1.23,1.94,29.97,53.53,1292.55,7.84,1.92,8.56,99.07,Sandy,Rice,Vegetative,Kharif,Drip,River,No,East
5.64,60.17,1.49,0.71,29.66,57.32,652.32,5.94,2.64,11.78,60.16,Silt,Wheat,Harvest,Rabi,Sprinkler,Reservoir,No,West
5.52,47.44,0.45,2.89,41.39,27.68,240.19,6.33,7.19,8.58,43.01,Silt,Rice,Flowering,Kharif,Drip,River,No,Central
6.14,11.83,0.58,1.41,31.83,37.35,841.58,8.16,8.8,2.76,92.26,Sandy,Wheat,Flowering,Zaid,Sprinkler,Reservoir,Yes,South
8.01,15.52,0.49,2.24,39.02,40.92,9.57,10.67,9.52,10.48,112.81,Loamy,Potato,Vegetative,Rabi,Sprinkler,Groundwater,No,West
6.11,20.45,1.53,1.3,26.32,27.82,1115.96,8.31,17.3,13.15,110.23,Silt,Maize,Flowering,Kharif,Drip,River,Yes,South
6.59,38.5,0.71,1.99,13.06,86.23,2093.45,8.19,9.82,14.76,91.12,Sandy,Maize,Flowering,Rabi,Rainfed,Reservoir,No,West
6.72,13.64,0.6,3.44,34.57,29.57,545.1,8.04,3.93,11.54,111.69,Loamy,Rice,Flowering,Rabi,Sprinkler,Groundwater,No,Central
5.53,9.87,0.41,1.04,36.51,67.98,2088.37,8.93,2.84,9.39,9.01,Loamy,Wheat,Flowering,Kharif,Rainfed,Rainwater,Yes,North
5.52,26.34,0.96,1.99,26.95,67.92,1419.52,7.87,6.49,0.59,76.9,Sandy,Potato,Flowering,Zaid,Sprinkler,River,No,East
7.07,51.75,0.63,2.64,40.24,50.28,1528.28,4.31,7.15,13.31,47.48,Clay,Wheat,Harvest,Rabi,Canal,Rainwater,Yes,South
6.5,61.43,0.31,3.27,28.86,53.1,2089.22,4.55,19.05,13.94,68.52,Loamy,Maize,Harvest,Kharif,Rainfed,Rainwater,No,West
5.12,64.11,0.63,0.16,23.95,92.06,1673.41,7.93,7.07,7.04,78.32,Silt,Rice,Flowering,Kharif,Sprinkler,River,No,South
7.42,63.05,1.15,2.34,32.61,58.74,2346.48,7.25,1.64,3.95,11.85,Sandy,Potato,Flowering,Zaid,Rainfed,River,No,South
6.8,43.63,1.58,2.04,14.79,77.74,2208.97,6.05,1.18,11.04,46.82,Silt,Maize,Harvest,Rabi,Rainfed,Reservoir,Yes,North
6.1,60.24,0.59,2.37,20.55,75.77,1459.12,7.72,7.16,4.84,70.97,Sandy,Sugarcane,Vegetative,Zaid,Drip,Groundwater,No,Central
7.75,33.01,0.62,0.87,13.38,80.2,972.12,7.78,2.07,11.55,9.04,Loamy,Maize,Vegetative,Kharif,Sprinkler,Rainwater,No,West
7.73,64.47,0.33,2.37,34.67,31.27,2489.08,9.78,4.89,3.3,49.6,Silt,Cotton,Vegetative,Rabi,Drip,Groundwater,No,West
5.93,51.64,0.57,3.47,18.44,56.42,2229.63,10.65,6.63,7.51,118.25,Clay,Potato,Vegetative,Rabi,Canal,Reservoir,Yes,South
5.26,44.0,1.49,0.37,18.85,85.46,2145.73,4.98,1.89,3.2,104.98,Sandy,Maize,Sowing,Zaid,Drip,River,Yes,Central
5.23,61.95,0.77,3.15,40.06,26.92,1640.23,8.43,4.32,6.86,99.89,Loamy,Cotton,Harvest,Kharif,Sprinkler,River,No,North
8.09,37.3,1.16,2.23,14.51,50.85,1648.01,6.67,8.42,8.53,81.96,Sandy,Sugarcane,Vegetative,Zaid,Drip,Reservoir,Yes,West
5.14,45.17,0.43,2.05,27.1,52.62,1238.91,9.77,11.2,2.72,81.5,Sandy,Maize,Sowing,Kharif,Rainfed,Rainwater,Yes,South
7.5,59.07,0.33,3.14,18.24,81.31,1231.38,10.14,14.34,3.94,27.74,Clay,Potato,Sowing,Zaid,Rainfed,River,No,North
7.37,51.41,0.49,1.37,22.73,86.71,2143.25,7.72,11.73,1.16,68.79,Clay,Wheat,Sowing,Zaid,Sprinkler,River,Yes,South
6.27,11.68,1.27,3.02,39.37,48.1,722.77,8.31,16.97,7.47,89.21,Silt,Sugarcane,Harvest,Rabi,Rainfed,River,Yes,North
7.78,17.15,0.41,0.98,29.11,38.47,88.63,9.99,15.93,8.07,2.55,Silt,Wheat,Vegetative,Kharif,Canal,Reservoir,Yes,North
6.33,41.89,1.18,3.49,29.46,51.96,2198.91,10.31,17.54,10.65,66.37,Silt,Rice,Vegetative,Kharif,Sprinkler,River,No,South
6.0,33.14,1.59,2.07,31.43,75.41,1003.71,10.35,10.31,2.43,53.23,Silt,Potato,Vegetative,Kharif,Rainfed,River,No,Central
5.65,50.75,0.44,0.41,23.34,54.06,2263.24,8.7,12.01,5.62,51.52,Sandy,Maize,Sowing,Zaid,Sprinkler,River,No,West
6.8,30.52,0.73,1.08,17.28,53.37,1568.59,6.25,3.21,7.8,99.93,Silt,Rice,Harvest,Zaid,Sprinkler,Groundwater,Yes,Central
7.03,56.07,1.02,3.09,15.15,52.85,1769.61,9.02,17.79,7.83,92.09,Clay,Maize,Harvest,Kharif,Drip,Reservoir,No,West
5.63,34.52,0.58,1.7,37.83,64.17,1193.94,8.87,19.31,13.19,47.25,Loamy,Rice,Flowering,Kharif,Rainfed,Rainwater,Yes,Central
5.66,27.24,1.53,1.72,37.4,80.03,1343.4,4.35,0.75,13.93,34.28,Clay,Potato,Harvest,Zaid,Sprinkler,River,Yes,Central
7.87,29.59,0.83,2.33,19.68,39.72,1574.74,10.28,13.17,8.28,24.46,Silt,Sugarcane,Sowing,Rabi,Rainfed,Reservoir,Yes,Central
5.84,29.23,0.55,3.02,28.13,78.48,1723.03,5.76,9.82,2.84,29.0,Silt,Sugarcane,Flowering,Rabi,Rainfed,Groundwater,No,Central
5.82,28.94,0.8,1.7,18.47,53.8,1705.9,7.09,13.64,4.99,100.9,Clay,Wheat,Vegetative,Zaid,Canal,Groundwater,No,Central
7.89,37.36,1.16,0.76,40.74,78.96,1648.8,4.74,14.7,11.63,42.98,Loamy,Potato,Flowering,Rabi,Sprinkler,River,No,North
5.23,20.76,1.44,0.31,26.7,46.03,703.05,8.89,13.49,14.08,11.73,Silt,Potato,Harvest,Kharif,Sprinkler,River,No,Central
6.6,19.84,0.57,2.29,36.55,66.94,1392.96,10.51,11.59,2.97,56.95,Clay,Potato,Flowering,Zaid,Canal,Groundwater,No,East
7.25,23.1,0.46,1.43,26.75,33.72,2111.33,5.28,9.01,4.46,68.12,Silt,Wheat,Vegetative,Zaid,Rainfed,Reservoir,Yes,North
7.39,41.3,0.72,3.49,25.44,80.92,1831.73,4.59,11.28,1.33,110.4,Sandy,Sugarcane,Vegetative,Rabi,Rainfed,Groundwater,No,South
5.94,44.98,1.14,2.09,31.32,37.0,2392.69,7.99,4.66,6.86,118.16,Loamy,Wheat,Flowering,Rabi,Drip,Reservoir,No,East
6.57,43.23,1.36,0.35,16.53,40.85,1546.08,5.89,16.56,10.74,37.04,Sandy,Potato,Vegetative,Zaid,Drip,Reservoir,Yes,East
